Repository,Category,Subcat,Standard,Stars,Forks,Description,URL,License,Language,Top Contributors,Contributors,Created,Updated,Last Commit,Downloads,Topics
ballerina-platform/fhir-tools,App Development,Tooling,FHIR,108,11,Tools that generate FHIR-related Ballerina artefacts,https://github.com/ballerina-platform/fhir-tools,Apache License 2.0,Java,"sameeragunarathne, Sanjana-Attanayake, isuruh15",10,2023-04-28,2025-09-30,2025-09-29,0,healthcare
BarnesLab/Patient2Vec,Model repo,,,107,30,Patient2Vec: A Personalized Interpretable Deep Representation of the Longitudinal Electronic Health ...,https://github.com/BarnesLab/Patient2Vec,MIT License,Python,kk7nc,1,2018-10-18,2025-03-04,2018-11-27,0,"attention-mechanism, deep-feature-extraction, deep-learning, ehr, electronic-health-records"
1uphealth/fhir-react,App Development,Interface,FHIR,107,31,FHIR React Component Library,https://github.com/1uphealth/fhir-react,MIT License,JavaScript,"ctomasz, KonradNojman, tp1uphealth",20,2019-06-01,2025-08-28,2025-08-28,0,validation-error
google/ehr-predictions,Archived,,,106,17,,https://github.com/google/ehr-predictions,Apache License 2.0,Python,natalieharris,1,2021-05-05,2025-08-13,2021-08-18,0,
Project-MONAI/monai-deploy,HAI engineering,Framework,"FHIR, DICOM",106,23,"MONAI Deploy aims to become the de-facto standard for developing, packaging, testing, deploying and ...",https://github.com/Project-MONAI/monai-deploy,Apache License 2.0,Shell,"mocsharp, JoeBatt1989, rahul-imaging",23,2021-04-22,2025-09-27,2025-03-26,161,"ai, ai-application-deployment, ai-application-development, deep-learning, dicom"
ballerina-platform/module-ballerinax-health.fhir.r4,Interoperability,Data Models & Validation,FHIR,105,20,FHIR R4 Ballerina modules,https://github.com/ballerina-platform/module-ballerinax-health.fhir.r4,Apache License 2.0,Ballerina,"sameeragunarathne, isuruh15, ThishaniLucas",17,2023-04-28,2025-09-19,2025-09-19,0,healthcare
ballerina-platform/module-ballerinax-health.fhir.templates,Interoperability,Data Models & Validation,FHIR,104,13,FHIR Ballerina templates,https://github.com/ballerina-platform/module-ballerinax-health.fhir.templates,Apache License 2.0,Ballerina,"ThishaniLucas, sameeragunarathne, AnjanaSenanayake",10,2023-04-28,2025-06-23,2025-03-24,0,healthcare
yashverma9/AI-Blockchain-Electronic-Health-Records-Management-System,Infrastructure,EHR,,104,39,A coupled AI-Blockchain Electronic Health Records (EHRs) management system which enables decentraliz...,https://github.com/yashverma9/AI-Blockchain-Electronic-Health-Records-Management-System,Unknown,Vue,"yashverma9, androdat",2,2020-06-30,2025-09-08,2020-07-02,0,
apache/ctakes,Model Development,Modelling & Training,,103,21,Apache cTAKES is a Natural Language Processing (NLP) platform for clinical text.,https://github.com/apache/ctakes,Apache License 2.0,Java,"seanfinan, Johnsd11, pabramowitsch",4,2022-11-29,2025-10-01,2025-09-26,380,"ai, bioinformatics, clinical, ctakes, ehr"
ballerina-attic/hl7-tools,Archived,Tooling,,101,2,Tools that generate HL7-related ballerina artefacts,https://github.com/ballerina-attic/hl7-tools,Apache License 2.0,,"maheshika, anupama-pathirage, keizer619",3,2023-04-28,2025-06-23,2024-04-01,0,
SaravananSubramanian/hl7,References,,,101,96,This repository contains all the code that I have used in my HL7 articles on my blog (both Java and ...,https://github.com/SaravananSubramanian/hl7,Unknown,C#,SaravananSubramanian,1,2014-10-06,2025-08-23,2019-04-23,0,"health-informatics, healthcare, hl7, hl7-parser, hl7v2"
gematik/api-erp,References,,,101,22,gematik provides a comprehensive overview of the e-prescription interfaces. This API documentation s...,https://github.com/gematik/api-erp,Other,HTML,"florianschoffke, Hendrejvr, SvenSommer",15,2020-04-30,2025-09-26,2025-09-26,0,"api, e-rezept, fhir, specification"
ballerina-platform/module-ballerinax-health.hl7v2,Interoperability,Data Models & Validation,HL7v2,102,15,HL7v2 Ballerina Modules,https://github.com/ballerina-platform/module-ballerinax-health.hl7v2,Apache License 2.0,Ballerina,"sameeragunarathne, isuruh15, ThishaniLucas",12,2023-04-28,2025-07-18,2025-07-18,0,healthcare
LinuxForHealth/hl7v2-fhir-converter,Interoperability,Converters & Transformers,"FHIR, HL7v2",101,42,Converts HL7 v2 Messages to FHIR Resources,https://github.com/LinuxForHealth/hl7v2-fhir-converter,Apache License 2.0,Java,"xpander53, cragun47, pbhallam",19,2020-09-17,2025-09-08,2025-04-22,0,"converter, fhir, fhir-resources, healthcare, hl7"
beda-software/fhir-emr,Infrastructure,EHR,FHIR,101,44,EMR based on FHIR,https://github.com/beda-software/fhir-emr,MIT License,TypeScript,"vesnushka, ir4y, atuonufure",25,2021-12-15,2025-10-02,2025-10-02,0,"emr, fhir"
GinoCanessa/FhirDevVideoNotes,References,,,100,37,,https://github.com/GinoCanessa/FhirDevVideoNotes,Unknown,,GinoCanessa,1,2020-10-02,2025-09-12,2022-04-12,0,
samply/golang-fhir-models,Interoperability,Data Models & Validation,FHIR,100,56,FHIR Models for Go,https://github.com/samply/golang-fhir-models,Apache License 2.0,Go,"alexanderkiel, HugoJBello",2,2019-12-02,2025-08-04,2022-12-03,0,"fhir, fhir-parser"
som-shahlab/medalign,Model Development,Eval,,97,9,MedAlign is a clinician-generated dataset for instruction following with electronic medical records.,https://github.com/som-shahlab/medalign,MIT License,,"scottfleming, Ale9806, jason-fries",3,2023-08-31,2025-09-11,2025-05-17,0,"benchmarking, ehr, electronic-health-records, foundation-models, healthcare"
segfault/ruby-hl7,Interoperability,Data Models & Validation,HL7v2,96,29,the ruby hl7 library,https://github.com/segfault/ruby-hl7,MIT License,Ruby,"segfault, eedrummer, ESouza",3,2008-03-15,2024-12-31,2013-07-12,0,
microsoft/OpenHack-FHIR,References,,,94,40,This repository hosts the guidance and assets for delivering an OpenHack focusing on FHIR and Micros...,https://github.com/microsoft/OpenHack-FHIR,Creative Commons Attribution 4.0 International,Shell,"cyberuna, jfattic, cajetzer",9,2020-08-10,2025-07-28,2024-10-30,0,
MLD3/FIDDLE,Model Development,Dataset Processing,,96,19,FlexIble Data-Driven pipeLinE – a preprocessing pipeline that transforms structured EHR data into fe...,https://github.com/MLD3/FIDDLE,MIT License,Jupyter Notebook,shengpu-tang,1,2020-02-21,2025-07-19,2025-06-25,0,"data-science, electronic-health-records, jamia, machine-learning, preprocessing"
onc-healthit/inferno-community,Archived,,,93,34,Archived source code for the Inferno Testing Tool and the Community Edition set of tests. No longer ...,https://github.com/onc-healthit/inferno-community,Apache License 2.0,Ruby,"arscan, Jammjammjamm, yunwwang",22,2018-05-08,2025-07-13,2024-01-23,0,fhir
HL7/fhir-ig-publisher,References,,,93,65,Source code for the IG publisher,https://github.com/HL7/fhir-ig-publisher,Apache License 2.0,Java,"grahamegrieve, markiantorno, dotasek",34,2019-04-01,2025-10-02,2025-10-02,71664,
Doctor-One/doctor-dok,Infrastructure,Data Platforms,,94,22,Doctor Dok is an AI based medical data framework and patient's med vault. Parse any health related P...,https://github.com/Doctor-One/doctor-dok,MIT License,JavaScript,"pkarw, dependabot[bot], ky-zo",3,2024-06-12,2025-10-03,2025-06-28,0,"ai, chatgpt, doctor, doctors-information, ehr"
google/cql,Interoperability,Data Standards & Mapping,"FHIR, CQL",92,12,An experimental Clinical Quality Language execution engine for analyzing FHIR healthcare data at sca...,https://github.com/google/cql,Apache License 2.0,Go,"evan-gordon, suyashkumar, copybara-github",7,2024-06-13,2025-09-30,2025-09-17,0,"clinical-quality-language, cql, fhir, golang, healthcare-analysis"
google/fhir-py,Interoperability,Data Models & Validation,FHIR,91,15,"Python utilities for working with FHIR, including libraries to build simple, flat FHIR views in BigQ...",https://github.com/google/fhir-py,Apache License 2.0,Python,"waltaskew, lisayin, rbrush",17,2022-08-30,2025-09-26,2025-04-28,0,"bigquery, fhir, python"
glee4810/EHRSQL,Model repo,Eval,,91,12,[NeurIPS'22] EHRSQL: A Practical Text-to-SQL Benchmark for Electronic Health Records,https://github.com/glee4810/EHRSQL,Creative Commons Attribution 4.0 International,Python,glee4810,1,2022-06-08,2025-10-03,2024-11-25,0,"ehrqa, question-answering, reliable-semantic-parsing, semantic-parsing, text-to-sql"
helsenorge/structor,Archived,Tooling,,90,36,FHIR Questionnaire Form Builder,https://github.com/helsenorge/structor-archived,MIT License,TypeScript,"mgunnerud, Jesperpaulsen, GeirLoken",23,2020-03-27,2025-08-26,2025-08-26,0,"fhir, form-builder, questionnaire, react, sdc"
callahantiff/OMOP2OBO,Interoperability,Data Standards & Mapping,OMOP-CDM,91,12,OMOP2OBO: A Python Library for mapping OMOP standardized clinical terminologies to Open Biomedical Ontologies,https://github.com/callahantiff/OMOP2OBO,MIT License,Jupyter Notebook,"callahantiff, jwyrwa, dependabot[bot]",3,2019-01-26,2025-09-03,2023-03-24,0,"clinical-terminologies, hacktoberfest, obofoundry, omop, omop-cdm"
helsenorge/structor-archived,Archived,,,90,36,FHIR Questionnaire Form Builder,https://github.com/helsenorge/structor-archived,MIT License,TypeScript,"mgunnerud, Jesperpaulsen, GeirLoken",23,2020-03-27,2025-08-26,2025-08-26,0,"fhir, form-builder, questionnaire, react, sdc"
CogStack/CogStack-SemEHR,Archived,,,89,20,"Surfacing Semantic Data from Clinical Notes in Electronic Health Records for Tailored Care, Trial Re...",https://github.com/CogStack/CogStack-SemEHR,Apache License 2.0,JavaScript,"Honghan, tomolopolis",2,2016-10-14,2024-10-16,2023-01-13,0,"electronic-health-record, semantic-annotation, semantic-query, semantic-web, umls"
smart-on-fhir/smart-on-fhir.github.io,References,,,89,90,SMART on FHIR Docs,https://github.com/smart-on-fhir/smart-on-fhir.github.io,Other,Jupyter Notebook,"jmandel, vlad-ignatov, gotdan",35,2014-06-05,2025-09-06,2025-02-18,0,
gml16/rl-medical,Model repo,,,90,22,Communicative Multiagent Deep Reinforcement Learning for Anatomical Landmark Detection using PyTorch.,https://github.com/gml16/rl-medical,Apache License 2.0,Python,"gml16, amiralansary, NikolaosBouas",6,2020-10-06,2025-09-04,2024-06-09,0,"deep-learning, deep-reinforcement-learning, healthcare, landmark-detection, machine-learning"
node-on-fhir/node-on-fhir-v2,Archived,,,88,11,Tech stack for building MACRA and 21st Century Cures compliant webapps.,https://github.com/node-on-fhir/node-on-fhir-v2,GNU Affero General Public License v3.0,JavaScript,"awatson1978, dependabot[bot]",2,2019-10-27,2025-07-01,2024-09-17,0,"argonaut, fhir, meteor, node, react"
google/fhir-gateway,Infrastructure,Auth & Proxy,FHIR,89,34,A generic proxy server for applying access-control policies for a FHIR-store.,https://github.com/google/fhir-gateway,Other,Java,"dependabot[bot], bashir2, omarismail94",11,2022-05-13,2025-09-16,2025-08-22,0,
fhir-crucible/fhir_models,Interoperability,Data Models & Validation,FHIR,88,26,FHIR Resource Models,https://github.com/inferno-framework/fhir_models,Apache License 2.0,Ruby,"jawalonoski, 360dgries, arscan",14,2016-03-11,2025-09-25,2024-10-14,0,"fhir, fhir-models"
dib0/NHapiTools,Infrastructure,Tooling,"FHIR, HL7v2",88,61,The NHapiTools are tools that will make using NHapi (the open source .Net HL7 implementation) easier...,https://github.com/dib0/NHapiTools,MIT License,C#,"dib0, milkshakeuk, sschoop",7,2014-11-19,2025-07-18,2025-02-11,255,
inferno-framework/fhir_models,Interoperability,Data Models & Validation,FHIR,88,26,FHIR Resource Models,https://github.com/inferno-framework/fhir_models,Apache License 2.0,Ruby,"jawalonoski, 360dgries, arscan",14,2016-03-11,2025-09-25,2024-10-14,0,"fhir, fhir-models"
microsoft/FHIR-Analytics-Pipelines,Archived,,,85,30,,https://github.com/microsoft/FHIR-Analytics-Pipelines,MIT License,TSQL,"QuanWanxx, hongyh13, moria97",16,2020-12-03,2025-08-06,2025-01-28,7657,
VectorInstitute/cyclops,Model Development,Eval,,86,13,A toolkit for evaluating and monitoring AI models in clinical settings,https://github.com/VectorInstitute/cyclops,Other,Python,"amrit110, dependabot[bot], a-kore",14,2022-02-21,2025-08-20,2025-04-14,0,"clinical-data, clinical-decision-support, clinical-research, data-drift, deep-learning"
baeseongsu/ehrxqa,Model repo,,,85,5,EHRXQA: A Multi-Modal Question Answering Dataset for Electronic Health Records with Chest X-ray Imag...,https://github.com/baeseongsu/ehrxqa,MIT License,Python,baeseongsu,1,2023-06-14,2025-08-22,2024-07-23,0,
OHDSI/MIMIC,Model Development,Dataset Processing,OMOP-CDM,84,30,"MIMIC (Medical Information Mart for Intensive Care) is a large, single-center database comprising information relating to patients admitted to critical care units at a large tertiary care hospital. Th...",https://github.com/OHDSI/MIMIC,Apache License 2.0,Python,"atsvetkova-ody, briangow, mik-ohdsi",12,2020-08-20,2025-09-19,2025-06-30,0,
Efferent-Health/HL7-V2,Interoperability,Data Models & Validation,HL7v2,83,14,Lightweight HL7 V2 parser and composer for modern C# / .NET applications,https://github.com/Efferent-Health/HL7-V2,MIT License,C#,"jaime-olivares, dependabot[bot], jonkelling",5,2024-07-05,2025-10-01,2025-08-18,0,"hl7, hl7-generating, hl7-message, hl7-parser, hl7v2"
Kartha-AI/agentcare-mcp,HAI engineering,Agents & MCP Server,FHIR,82,27,MCP Server for EMRs with FHIR,https://github.com/Kartha-AI/agentcare-mcp,MIT License,JavaScript,hari-kartha,1,2025-02-09,2025-09-16,2025-03-13,0,
ycq091044/SafeDrug,Model repo,,,82,16,"IJCAI2021: Code for SafeDrug, MIMIC data processing, Medical code mapping",https://github.com/ycq091044/SafeDrug,Unknown,Python,ycq091044,1,2021-05-05,2025-07-09,2023-08-01,0,"drug-molecules, drug-recommendation, graph-neural-networks, mimic-iii"
dib0/HL7Fuse,Interoperability,Gateways & Connectors,HL7v2,81,49,"HL7Fuse is a ""Swiss pocketknife"" for your HL7 development needs in the .Net framework. HL7Fuse is ba...",https://github.com/dib0/HL7Fuse,MIT License,C#,"FabioBo, dib0, dependabot[bot]",4,2014-11-19,2025-07-29,2025-06-17,238,
FHIR/sql-on-fhir,Archived,,,80,10,SQL on FHIR Proposal,https://github.com/FHIR/sql-on-fhir,Unknown,,"rbrush, jmandel",2,2018-08-31,2025-07-18,2023-09-05,0,
CDCgov/prime-reportstream,Interoperability,Gateways & Connectors,,81,44,ReportStream is a public intermediary tool for delivery of data between different parts of the healt...,https://github.com/CDCgov/prime-reportstream,Creative Commons Zero v1.0 Universal,Kotlin,"dependabot[bot], etanb, MauriceReeves-usds",100,2020-10-15,2025-10-02,2025-10-02,35,"civic-tech, fhir, hl7, public-health"
Medical-Event-Data-Standard/meds,Model Development,Dataset Processing,,80,9,"Schema definitions and Python types for Medical Event Data Standard, a standard for medical event da...",https://github.com/Medical-Event-Data-Standard/meds,Apache License 2.0,Python,"mmcdermott, EthanSteinberg, rvandewater",8,2023-12-06,2025-10-02,2025-08-10,52,
rvandewater/YAIB,Model Development,Eval,,79,22,🧪Yet Another ICU Benchmark: a holistic framework for the standardization of clinical prediction mode...,https://github.com/rvandewater/YAIB,MIT License,Python,"rvandewater, HendrikSchmidt, Snagnar",14,2022-08-15,2025-10-02,2025-07-24,0,"amsterdamumcdb, benchmark, clinical-data, clinical-ml, deep-learning"
fhir-crucible/crucible,Archived,,,77,25,🔥 Crucible web application for testing FHIR servers,https://github.com/fhir-crucible/crucible,Unknown,HTML,"arscan, andrequina, Evana13G",8,2015-09-21,2025-09-06,2021-01-29,0,fhir
smart-on-fhir/fhir-bulk-data-docs,References,,,77,28,Documentation and issue tracking for the emerging FHIR bulk data implementation guide,https://github.com/smart-on-fhir/fhir-bulk-data-docs,Unknown,Jupyter Notebook,"jmandel, gotdan, vlad-ignatov",13,2018-01-05,2025-09-06,2020-05-09,0,
kennethleungty/Generative-AI-Pharmacist,Model repo,,,78,23,Generative AI Pharmacist (For Demo Purposes Only),https://github.com/kennethleungty/Generative-AI-Pharmacist,Unknown,,kennethleungty,1,2023-02-14,2025-09-22,2024-07-13,0,"ai, ai-pharmacist, artificial-intelligence, chatgpt, data-science"
shihjay2/nosh2,Infrastructure,EHR,,77,54,NOSH ChartingSystem is an electronic health record system designed exclusively for doctors and patie...,https://github.com/shihjay2/nosh2,Other,PHP,"shihjay2, willseward",2,2017-03-10,2025-08-29,2024-08-22,0,
geniusrise/awesome-healthcare-datasets,Lists,,,76,12,"Healthcare and biomedical datasets, for AI/ML",https://github.com/geniusrise/awesome-healthcare-datasets,Creative Commons Zero v1.0 Universal,,"ixaxaar, p12dpraneeth",2,2024-05-30,2025-10-01,2025-02-23,0,"awesome-list, biomedical, clinical, datasets, healthcare"
openmrs/openmrs-module-fhir2,Infrastructure,EHR,FHIR,76,134,The FHIR REST API and related services for OpenMRS,https://github.com/openmrs/openmrs-module-fhir2,Other,Java,"ibacher, corneliouzbett, varung-31",50,2020-01-06,2025-09-14,2025-08-28,0,"fhir, fhir-r4, openmrs, openmrs-fhir"
microsoft/FhirBlaze,App Development,Templates / Starters,FHIR,75,44,MicroUI Blazor app interfacing with FHIR data.,https://github.com/microsoft/FhirBlaze,MIT License,C#,"pjirsa, SameerDoshi, i-am-dan",16,2021-08-02,2025-08-02,2023-10-31,0,
wanghaisheng/fhir-cn,Archived,,,74,23,FHIR中文版  the Chinese translation of FHIR,https://github.com/wanghaisheng/fhir-cn,Unknown,,wanghaisheng,1,2014-07-02,2025-08-22,2022-06-22,0,
HL7/v2-to-fhir,References,,,73,25,This repository supports tools and content for the V2 to FHIR project.,https://github.com/HL7/v2-to-fhir,Apache License 2.0,GLSL,"rhausam, keithboone, hbuitendijk",5,2019-04-10,2025-10-02,2025-10-02,0,
microsoft/fhir-proxy,Archived,,,72,48,FHIR Proxy is a secure application that acts as an intermediary in the transfer of FHIR data to and ...,https://github.com/microsoft/fhir-proxy,MIT License,C#,"v-pbartley, daemel, microsoftopensource",10,2021-03-03,2025-09-06,2023-04-20,0,"azure, fhir"
nikit0ns/artificial-intelligence-library,Lists,,,72,7,Artificial Intelligence Library — a meticulously curated library featuring over 320 top-tier AI plat...,https://github.com/nikit0ns/artificial-intelligence-library,GNU General Public License v3.0,,"nikit0ns, vinhnguyen3455",2,2023-12-19,2025-09-28,2024-03-14,0,"assistants, audio-editing, awesome, awesome-list, code-assistants"
cqframework/cql-execution,Interoperability,Data Standards & Mapping,CQL,74,34,A JavaScript framework for executing CQL,https://github.com/cqframework/cql-execution,Apache License 2.0,JavaScript,"cmoesel, rdingwell, hossenlopp",30,2018-03-15,2025-09-06,2025-08-19,0,"clinical-decision-support, clinical-quality-language, clinical-quality-measurement, cql, fhir"
ivanwilliammd/satusehat-integration,Interoperability,Data Models & Validation,FHIR,72,48,SATUSEHAT Integration Library - easy way to create FHIR R4 resource object,https://github.com/ivanwilliammd/satusehat-integration,MIT License,PHP,"ivanwilliammd, SyaefulKai, yudistirasd",7,2023-09-26,2025-09-22,2025-08-23,0,"fhir-client, health-informatics, healthcare, integration, kyc"
UMEssen/FHIR-PYrate,Model Development,Dataset Processing,"FHIR, DICOM",70,14,FHIR-PYrate is a package that provides a high-level API to query FHIR Servers for bundles of resourc...,https://github.com/UMEssen/FHIR-PYrate,MIT License,Python,"giuliabaldini, JannisStraus, Goku1110",4,2022-02-08,2025-10-01,2025-07-04,0,"data-science, fhir, fhirpath, healthcare, pyrate"
OHDSI/Athena,App Development,Visualization,OMOP-CDM,70,19,Web application for distributing and browsing the Standardized Vocabularies for all instances of an OMOP CDM,https://github.com/OHDSI/Athena,Unknown,Java,"acumarav, GlebMalikov, YaroslavTir",17,2015-03-25,2025-09-29,2025-08-28,0,
yahskapar/MA-rPPG-Video-Toolbox,Model repo,,,70,11,"The source code and pre-trained models for Motion Matters: Neural Motion Transfer for Better Camera Physiological Sensing (WACV 2024, Oral).",https://github.com/yahskapar/MA-rPPG-Video-Toolbox,Other,Python,"yahskapar, yulupan00",2,2022-09-19,2025-09-24,2024-03-30,0,"camera, computer-vision, data-augmentation-strategies, deep-learning, health"
leandromineti/awesome-healthmetrics,Lists,,,69,9,A curated list of awesome resources at the intersection of healthcare and AI,https://github.com/leandromineti/awesome-healthmetrics,MIT License,,leandromineti,1,2019-01-11,2025-09-16,2023-09-22,0,"artificial-intelligence, awesome, healthcare, machine-learning"
microsoft/azure-health-data-services-toolkit,Infrastructure,Tooling,,69,30,Customization model for Azure Health Data Services.,https://github.com/microsoft/azure-health-data-services-toolkit,MIT License,C#,"evachen96, mikaelweave, vmsuthar56",20,2022-08-10,2025-09-08,2025-09-08,482,"azure, fhir"
instamed/healthcare-payments-blockchain,Archived,EHR,,68,35,"Healthcare Payments implemented on a HyperLedger Fabric 1.4 private, permission blockchain that uses...",https://github.com/instamed/healthcare-payments-blockchain,MIT License,TypeScript,"instameddevelopment, bentoo42, instaireland",3,2019-03-04,2025-03-06,2021-01-20,0,"blockchain, convector, fhir, healthcare, hyperledger-fabric"
OHDSI/Criteria2Query,Infrastructure,Analytics,OMOP-CDM,69,20,[In Development] An application to parse freetext inclusion criteria and produce a structured cohort definition that can be executed against OMOP CDM,https://github.com/OHDSI/Criteria2Query,Apache License 2.0,Java,"chiyuan1126, yfyfang",2,2017-04-08,2025-10-02,2025-06-15,0,
beda-software/fhirpath-py,App Development,Profiling & Authoring,FHIR,68,17,FHIRPath implementation in Python.,https://github.com/beda-software/fhirpath-py,MIT License,Python,"atuonufure, ufocoder, ir4y",14,2020-02-24,2025-09-08,2025-08-01,0,"fhir, fhirpath"
CMSgov/beneficiary-fhir-data,Infrastructure,Servers,FHIR,68,33,,https://github.com/CMSgov/beneficiary-fhir-data,Creative Commons Zero v1.0 Universal,Java,"karlmdavis, dho937, actions-user",81,2019-08-22,2025-10-02,2025-10-02,51,"fhir, fhir-mapping-language, medicare"
cqframework/CQL-Formatting-and-Usage-Wiki,References,,,67,27,A collaborative workspace for the development of CQL formatting conventions and usage patterns for a...,https://github.com/cqframework/CQL-Formatting-and-Usage-Wiki,Unknown,HTML,"brynrhodes, rhondaschwartz, alexisc0le",9,2016-05-26,2025-10-01,2025-09-25,0,"clinical-decision-support, clinical-quality-improvement, clinical-quality-measurement, cql, fhir"
databricks-industry-solutions/smolder,Infrastructure,Analytics,HL7v2,67,25,HL7 Apache Spark Datasource,https://github.com/databricks-industry-solutions/smolder,Apache License 2.0,Scala,"zavoraad, ryandecosmo, pohlposition",4,2020-11-19,2025-06-27,2024-03-15,801,"datasource, hl7, hl7v2, spark"
cqframework/cqf-ruler,Infrastructure,Servers,CQL,67,50,FHIR Clinical Reasoning Module Server,https://github.com/cqframework/cqf-ruler,Apache License 2.0,Java,"JPercival, mdnazmulkarim, brynrhodes",24,2016-09-12,2025-09-06,2024-12-18,1565,"clinical-decision-support, clinical-quality-language, clinical-quality-measurement, cql, fhir"
RobHolme/vscode-hl7tools,Interoperability,Gateways & Connectors,HL7v2,67,16,Visual Studio Code extension for working with HL7 v2.x files,https://github.com/RobHolme/vscode-hl7tools,MIT License,TypeScript,"RobHolme, daimor, jacobMedisoft",4,2017-03-19,2025-09-04,2025-07-19,0,
microsoft/ResponsibleAIAccelerator,Archived,,,65,7,Repo to hold examples of responsible model assessment for a variety of different verticals such as h...,https://github.com/microsoft/ResponsibleAIAccelerator,MIT License,Jupyter Notebook,"cviddenKwantum, FreeheelGreg, imatiach-msft",5,2023-01-06,2025-05-26,2024-02-09,0,
FHIR/documents,References,,,65,22,"Documents that support FHIR - tutorials, presentations, analysis documents + old ballot records",https://github.com/FHIR/documents,Unknown,XSLT,"rhausam, lmckenzi, rettema",16,2017-06-22,2025-06-06,2025-04-22,0,
microsoft/clinical-self-verification,Model repo,Eval,,66,10,Self-verification for LLMs.,https://github.com/microsoft/clinical-self-verification,MIT License,Jupyter Notebook,"csinva, microsoft-github-policy-service[bot]",2,2023-05-01,2025-09-29,2023-07-22,0,"artificial-intelligence, ehr, information-extraction, interpretability, large-language-models"
Optum/CyFHIR,Interoperability,Data Standards & Mapping,FHIR,65,13,A Neo4j Plugin for Handling HL7 FHIR Data,https://github.com/Optum/CyFHIR,GNU General Public License v3.0,Java,"amyschoen, DMadrid, frisbm",4,2020-04-21,2025-09-29,2021-06-05,347,"fhir, graph-database, healthcare, hl7, maven"
rOpenHealth/rEHR,Model Development,Dataset Processing,,63,19,R tools for processing and extracting clinical information from Electronic Medical Records Databases,https://github.com/rOpenHealth/rEHR,Unknown,R,"DASpringate, rosap, evank23",3,2014-02-05,2025-03-24,2024-09-24,0,
CogStack/Foresight,Model repo,,,63,11,Deep Generative Modelling of Patient Timelines using Electronic Health Records,https://github.com/CogStack/Foresight,Apache License 2.0,Jupyter Notebook,w-is-h,1,2022-12-12,2025-06-24,2024-01-08,0,
Zzocker/EHR-on-blockchain,Infrastructure,EHR,,63,27,A Electronic Health Records system on hyperledger fabric maintained by consortium of hospitals for p...,https://github.com/Zzocker/EHR-on-blockchain,Unknown,Go,"ejson03, Zzocker, piyushchauhan",3,2020-03-26,2025-08-12,2021-08-10,0,"aws-ec2, aws-vpc, docker, golang, healthcare"
google/bulk_fhir_tools,Interoperability,Client SDKs,FHIR,63,9,"Examples, libraries, and tools for working with bulk FHIR data.",https://github.com/google/bulk_fhir_tools,Apache License 2.0,Go,"suyashkumar, Kai-Bailey, Luid101",6,2021-12-21,2025-07-14,2024-05-20,0,"bcda, bulk, bulk-fhir, claims, client"
opensrp/fhircore,App Development,Interface,"FHIR, iomt",63,69,"FHIR Core / OpenSRP 2 is a Kotlin application for delivering offline-capable, mobile-first healthcar...",https://github.com/opensrp/fhircore,Apache License 2.0,Kotlin,"ellykits, ndegwamartin, Rkareko",53,2021-02-16,2025-10-03,2025-10-03,175,"android, android-fhir-sdk, android-library, fhir, fhir-client"
Outburn-IL/fume-community,Interoperability,Data Standards & Mapping,"FHIR, HL7v2",63,13,"FUME is a FHIR conversion tool. Transform any data format to and from FHIR, including CSV, JSON, XML...",https://github.com/Outburn-IL/fume-community,GNU Affero General Public License v3.0,TypeScript,"mechanik-daniel, semantic-release-bot, lizozom",7,2023-06-02,2025-09-09,2025-08-24,0,"csv-to-fhir, fhir, fhir-converter, fhir-mapper, fhir-mapping-engine"
cerner/ascvd-risk-calculator,Archived,,,62,47,SMART ASCVD Risk Calculator,https://github.com/cerner/ascvd-risk-calculator,Apache License 2.0,JavaScript,"dependabot[bot], zplata, mjhenkes",7,2017-02-09,2025-08-20,2020-09-14,0,"ascvd, cardiac-risk, fhir, healthcare-application, smart"
jmandel/health-record-mcp,HAI engineering,Agents & MCP Server,FHIR,63,21,Connect to an EHR and make clinical data available via MCP,https://github.com/jmandel/health-record-mcp,MIT License,TypeScript,"jmandel, Copilot",2,2025-04-05,2025-09-13,2025-08-15,0,
IoBT-VISTEC/EEGWaveNet,Model repo,,,62,8,source codes for EEGWaveNet: Multi-Scale CNN-Based Spatiotemporal Feature Extraction for EEG Seizure...,https://github.com/IoBT-VISTEC/EEGWaveNet,Unknown,Python,"IoBT-VISTEC, kkuroma",2,2021-05-17,2025-09-22,2022-06-30,0,"ai, cnn, convolutional-neural-networks, deep-learning, eeg"
microsoft/Graphir,Infrastructure,Servers,FHIR,61,14,GraphQL interface over FHIR API,https://github.com/microsoft/Graphir,MIT License,C#,"pjirsa, nirzaf, mmfazrin-phcc-gov",11,2021-12-06,2025-07-25,2023-01-17,0,
BD2KOnFHIR/NLP2FHIR,Model Development,Modelling & Training,FHIR,61,15,NLP2FHIR: A FHIR-based Clinical Data Normalization Pipeline and Its Applications,https://github.com/BD2KOnFHIR/NLP2FHIR,Unknown,Java,"qqndrew, gqjiang, dnstone",3,2018-08-29,2025-05-21,2021-04-08,39,
FlixCoder/fhir-sdk,Interoperability,Client SDKs,FHIR,61,17,Rust FHIR SDK,https://github.com/FlixCoder/fhir-sdk,MIT License,Rust,"dependabot[bot], FlixCoder, jarimayenburg",7,2023-03-22,2025-09-26,2025-08-29,0,"client, fhir, json, rust"
